Fabricante,Modelo,Ano,Categoria,Couro,Combustivel,Volume_motor,Km,Cilindros,Tipo_cambio,Tracao,Portas,Rodas,Cor,Airbags,Preco,Numero_proprietarios
HYUNDAI,Tucson,2017,SUV,o,GASOLI,1.6 Turbo,17000,4,Tiptronic,4x4,45,17,Preto,10,45473,3
VAZ,2107,1988,Sedan,o,GASOLI,1.5,150000,4,Manual,Traseira,45,11,Azul,0,2195,1
HYUNDAI,Elantra,2014,Sedan,Sim,diesel,1.6,,4,Automatico,Dianteira,45,15,Branco,4,20266,4
LEXUS,GX 470,2009,SUV,Sim,GASOLI,4.7,264339,8,Automatico,4x4,45,13,Preto,0,30734,3
BMW,530,2004,Sedan,Sim,Gasol.,3,201000,6,Tiptronic,Traseira,45,27,Preto,8,15053,5
MERCEDESBENZ,ML 350,2005,SUV,Sim,Gasoli,3.7,280000,6,Tiptronic,4x4,45,19,Prata,8,17249,5
TOYOTA,Camry,2014,Sedan,Sim,Hibrido,2.5,398069,4,Automatico,Dianteira,45,2,Preto,12,1098,3
TOYOTA,Prius,2006,Hatchback,Sim,Hibrido,1.5,115000,4,Automatico,Dianteira,45,3,Prata,12,12000,1
MERCEDESBENZ,E 350,2006,Sedan,Sim,Gás tural,3.5,167563,6,Tiptronic,4x4,45,12,Marrom,12,17249,3
TOYOTA,Prius,2010,Hatchback,Sim,Hibrido,1.8,192000,4,Automatico,Dianteira,45,27,Preto,8,17562,4
VOLKSWAGEN,CC,2013,Sedan,Sim,Gasoli,3.6,,8,Automatico,Dianteira,45,15,Cinza,8,27598,2
MERCEDESBENZ,E 350,2011,Cupê,Sim,Diesel,3.5,226251,6,Automatico,Traseira,23,5,Preto,12,1568,2
LEXUS,GX 460,2010,SUV,Sim,Gasoli,4.6,155821,8,Automatico,4x4,45,16,Preto,12,26030,3
HYUNDAI,Santa FE,2011,SUV,Sim,DIESEL,2,129129,4,Automatico,Dianteira,45,22,Prata,4,,5
MERCEDESBENZ,ML 350,2012,SUV,Sim,DIESEL,3,209072,6,Automatico,4x4,45,25,Cinza,12,220,5
TOYOTA,Prius,2009,Hatchback,Sim,Hibrido,1.8,249600,4,Variator,Dianteira,45,32,Preto,6,14700,3
TOYOTA,Camry,2012,Sedan,Sim,Hibrido,2.5,,4,Automatico,Dianteira,45,23,Cinza,12,392,3
SUBARU,Forester,2014,SUV,o,Gasoli,2.5,127000,4,Variator,4x4,45,2,Preto,12,19444,2
LEXUS,GX 470,2013,SUV,Sim,Gasol.,4.6,202651,8,Automatico,4x4,45,28,Preto,0,54568,4
TOYOTA,Prius,2015,Sedan,o,Hibrido,1.8,67200,4,Automatico,Dianteira,45,2,Preto,8,21953,3
MERCEDESBENZ,E 350,2009,Sedan,Sim,DIESEL,3.5,266061,6,Automatico,4x4,45,6,Preto,12,1411,3
UAZ,Patriot,1964,SUV,o,Gasol.,2.4,50000,4,Manual,4x4,23,2,Verde,0,5331,4
MERCEDESBENZ,E 350,2009,Sedan,Sim,DIESEL,3.5,266061,6,Automatico,4x4,45,18,Preto,12,314,5
REULT,Megane,2009,Hatchback,o,diesel,1.5,240000,4,Manual,Dianteira,45,15,Prata,8,13642,3
TOYOTA,Camry,2013,Sedan,o,Gasoli,2.5,140328,4,Automatico,Dianteira,45,16,Preto,0,17562,4
TOYOTA,Prius,2008,Hatchback,Sim,Hibrido,1.5,137000,4,Variator,Dianteira,45,29,Azul,12,13485,4
MITSUBISHI,Pajero IO,1998,SUV,o,Gasoli,1.8,130000,4,Automatico,4x4,45,9,Azul,0,10036,2
HYUNDAI,H1,2011,Minivan,Sim,diesel,2.5,38283,4,Automatico,Dianteira,45,26,Prata,4,29636,2
HYUNDAI,Sota,2010,Sedan,Sim,Gasol.,2,,4,Automatico,Dianteira,45,22,Prata,4,13953,2
BMW,528 i,2013,Sedan,Sim,gasoli,2.0 Turbo,176000,4,Tiptronic,Traseira,45,1,Branco,12,42337,1
MAZDA,CX5,2015,SUV,Sim,gasoli,2.5,48000,4,Automatico,Dianteira,45,14,Cinza,6,31361,3
OPEL,Astra,2007,Universal,o,DIESEL,1.9,222222,4,Manual,Dianteira,45,32,Prata,8,7840,1
HONDA,FIT,2004,Hatchback,o,GASOLI,1.3,155000,4,Variator,Dianteira,45,8,Prata,4,30,5
TOYOTA,Prius,2014,SUV,Sim,Hibrido,1.8,187334,4,Automatico,Dianteira,45,16,Branco,12,188,5
KIA,Picanto,2009,Sedan,Sim,Gasoli,1,90000,4,Automatico,Dianteira,45,12,Prata,4,4391,1
TOYOTA,Camry se,2012,Sedan,Sim,Gasoli,2.5,65990,4,Tiptronic,Dianteira,45,16,Preto,12,20385,2
LEXUS,RX 450,2010,SUV,Sim,Hibrido,3.5,317470,6,Automatico,4x4,45,22,Cinza,12,220,1
LEXUS,CT 200h,2014,Hatchback,Sim,Hibrido,1.8,82000,4,Tiptronic,Dianteira,45,20,Branco,10,36692,3
TOYOTA,CHR,2018,SUV,Sim,Gasol.,2,38712,4,Automatico,Dianteira,45,29,Branco,12,10349,2
FORD,Fusion,2016,Sedan,Sim,Hibrido,2,194974,4,Automatico,Dianteira,45,11,Preto,0,8781,5
FORD,Edge,2007,SUV,o,Gasol.,3.5,,6,Automatico,Dianteira,45,13,Cinza,6,5000,5
HYUNDAI,Sota Hybrid,2012,Sedan,Sim,Hibrido,2.4,128300,4,Tiptronic,Dianteira,45,21,Vermelho,8,17249,1
LINCOLN,vigator,1999,Limousine,Sim,GASOLI,5.4,99000,8,Automatico,4x4,45,28,Branco,4,25089,1
MERCEDESBENZ,E 300,2017,Sedan,Sim,Dies.,2,26802,4,Automatico,Traseira,45,10,Preto,12,314,3
MERCEDESBENZ,E 350,2010,Cupê,Sim,GASOLI,3.5,200000,6,Tiptronic,Traseira,23,8,Branco,8,34497,4
TOYOTA,Camry,2014,Sedan,Sim,Hibrido,2.5,130478,4,Automatico,Dianteira,45,13,Branco,12,862,2
TOYOTA,Prius,2007,Sedan,o,Hibrido,1.5,336000,4,Automatico,Dianteira,45,25,Branco,10,13172,1
BMW,X5,2017,SUV,Sim,Gasoli,3.0 Turbo,48000,6,Tiptronic,4x4,45,30,Dourado,12,61154,2
FORD,Fusion,2013,Sedan,o,gasoli,2.5,71000,4,Automatico,Dianteira,45,15,Branco,12,16308,1
HYUNDAI,Santa FE,2013,SUV,Sim,diesel,2,144950,4,Automatico,Dianteira,45,9,Cinza,4,37232,1
MERCEDESBENZ,ML 350,2013,SUV,Sim,DIESEL,3,114491,6,Automatico,4x4,45,28,Branco,12,23207,1
HYUNDAI,Sota,2011,Sedan,Sim,gasoli,2,129085,4,Automatico,Dianteira,45,1,Preto,4,17158,1
HYUNDAI,Santa FE,2014,SUV,Sim,Dies.,2,159124,4,Automatico,Dianteira,45,6,Branco,4,37574,5
CHEVROLET,Cruze,2010,Sedan,Sim,Gasoli,1.6,,4,Automatico,Dianteira,45,21,Preto,4,6209,4
CHEVROLET,Cruze,2010,Sedan,Sim,Gasoli,1.6,58221,4,Automatico,Dianteira,45,27,Prata,4,5488,2
HONDA,Crv,2012,SUV,o,gasoli,2.4,104852,4,Tiptronic,4x4,45,16,Prata,8,24775,5
LEXUS,GX 460,2017,SUV,Sim,Gasoli,4.6,69918,8,Automatico,4x4,45,1,Branco,0,470,4
MERCEDESBENZ,C 240,2000,Sedan,o,Gasoli,2.6,27000,6,Tiptronic,Traseira,45,25,Azul,4,9095,2
MERCEDESBENZ,E 350,2014,Sedan,Sim,Gasoli,3.5,,6,Automatico,Traseira,45,23,Cinza,12,1882,2
BMW,520,1999,Sedan,o,GASOLI,2.5,0,6,Tiptronic,Traseira,45,9,Prata,4,5645,4
PORSCHE,Cayenne,2009,SUV,Sim,Gasol.,4.8,145000,6,Tiptronic,4x4,45,9,Preto,10,33870,5
MERCEDESBENZ,E 300,2017,Sedan,Sim,gasoli,2,50930,4,Automatico,Traseira,45,22,Preto,12,22580,3
HYUNDAI,Tucson,2016,SUV,Sim,Dies.,1.7,114435,4,Automatico,Dianteira,45,17,Branco,4,35344,3
BMW,X5 rest,2004,SUV,Sim,GASOLI,4.4,185000,8,Tiptronic,4x4,45,6,Preto,8,,3
TOYOTA,Camry,2014,Sedan,Sim,Hibrido,2.5,179381,4,Automatico,Dianteira,45,4,Preto,12,11133,1
CHEVROLET,Malibu,2014,Sedan,Sim,GASOLI,2,143293,4,Automatico,Dianteira,45,24,Preto,4,18500,4
HONDA,Insight,2009,Sedan,o,Hibrido,1.3,244800,4,Tiptronic,Dianteira,45,6,Prata,6,12231,1
TOYOTA,Prius,2013,Hatchback,o,Hibrido,1.8,216386,6,Automatico,Dianteira,45,9,Branco,6,21330,1
TOYOTA,RAV 4,2006,SUV,o,GASOLI,2.4,304000,4,Automatico,4x4,45,10,Verde,0,16308,2
MERCEDESBENZ,E 350,2012,Sedan,Sim,diesel,3.5,,6,Automatico,4x4,45,26,Preto,12,627,3
LEXUS,GX 460,2012,SUV,Sim,Gasol.,4.6,229334,8,Automatico,4x4,45,30,Preto,0,52059,4
HYUNDAI,Elantra,2016,Sedan,Sim,GASOLI,1.8,70220,4,Automatico,Dianteira,45,8,Prata,4,34877,1
CHEVROLET,Cruze,2012,Sedan,Sim,Dies.,2,355272,4,Automatico,Dianteira,45,21,Preto,4,10506,5
TOYOTA,Prius,2012,Sedan,o,Hibrido,1.8,95992,4,Variator,Dianteira,45,1,Branco,0,20385,3
SUZUKI,Escudo,1993,SUV,o,GASOLI,1.6,170000,4,Manual,4x4,45,23,Cinza,2,,4
TOYOTA,RAV 4,2017,SUV,o,GASOLI,2.5,16500,4,Automatico,4x4,45,17,Cinza,12,47042,3
KIA,RIO,2018,SUV,Sim,Gasol.,1.6,,4,Automatico,Dianteira,45,14,Preto,12,1646,2
CHEVROLET,Volt,2014,Hatchback,Sim,Hibrido,1.4,112123,4,Automatico,Dianteira,45,23,Prata,0,6586,1
MITSUBISHI,Pajero,1994,SUV,Sim,DIESEL,2.5 Turbo,,4,Manual,4x4,23,23,Branco,2,9408,1
HONDA,FIT,2014,Hatchback,o,Hibrido,1.5,114000,4,Automatico,4x4,45,22,Prata,12,10976,4
SSANGYONG,REXTON,2013,SUV,Sim,DIESEL,2,123700,4,Automatico,Dianteira,45,31,Preto,4,32311,2
SSANGYONG,Actyon,2015,SUV,Sim,Gasol.,1.6,215000,4,Automatico,Dianteira,45,20,Preto,4,25139,5
TOYOTA,Prius,2006,Hatchback,o,Hibrido,1.4,173000,4,Variator,Dianteira,45,6,Cinza,8,11917,4
NISSAN,Note,2008,Hatchback,o,Gasol.,1.5,104000,4,Automatico,Dianteira,45,20,Cinza,2,8154,4
TOYOTA,RAV 4,2016,SUV,Sim,Hibrido,2.5,47453,4,Automatico,4x4,45,24,Prata,10,19444,4
OPEL,Astra,2007,Universal,Sim,Dies.,1.7 Turbo,0,4,Manual,Dianteira,45,29,Prata,10,9408,4
VOLKSWAGEN,Passat,1999,Sedan,o,Gás tural,1.8 Turbo,200000,4,Tiptronic,Dianteira,45,32,Prata,4,4704,3
MERCEDESBENZ,C 230,2004,Sedan,Sim,Diesel,2.2 Turbo,1234,4,Automatico,Traseira,45,21,Preto,0,11604,4
TOYOTA,RAV 4,2017,SUV,Sim,Gasoli,2.5,60000,4,Automatico,4x4,45,28,Prata,12,50178,3
MERCEDESBENZ,C 200,2000,Sedan,Sim,Gasol.,2,260000,4,Manual,Traseira,45,2,Prata,6,8467,5
AUDI,A7,2012,Cupê,Sim,gasoli,3.0 Turbo,161000,6,Tiptronic,4x4,45,21,Prata,12,,4
TOYOTA,Camry,2014,Sedan,Sim,Gasoli,2.5,202355,4,Automatico,Dianteira,45,3,Red,12,941,3
HONDA,Accord,2018,Sedan,Sim,Gasoli,1.5,60062,4,Automatico,Dianteira,45,12,Preto,12,11290,2
TOYOTA,Camry,2017,Sedan,Sim,gasoli,2.5,,4,Automatico,Dianteira,45,23,Red,12,4234,2
HYUNDAI,H1,2011,Universal,Sim,Dies.,2.5,222604,4,Automatico,Dianteira,45,14,Preto,4,18500,3
SUBARU,Forester,2009,SUV,o,gasoli,2.5,133000,4,Automatico,4x4,45,12,Prata,8,13172,2
MITSUBISHI,Pajero,2001,SUV,o,Gás tural,3.5,149000,6,Tiptronic,4x4,45,28,Prata,4,10036,4
FIAT,500,2016,SUV,Sim,Gasoli,1.4,77600,4,Automatico,Dianteira,45,11,Preto,12,314,5
HYUNDAI,Elantra,2018,Sedan,Sim,Gasol.,1.6,52000,4,Automatico,Dianteira,45,17,Red,4,31581,2
HYUNDAI,Tucson,2014,SUV,Sim,Dies.,2,134750,4,Automatico,Dianteira,45,4,Cinza,4,30351,5
TOYOTA,Prius,2015,SUV,Sim,Hibrido,1.8,104795,4,Automatico,Dianteira,45,18,Branco,12,2038,2
SSANGYONG,REXTON,2016,SUV,Sim,DIESEL,2.2,55510,4,Automatico,Dianteira,45,17,Branco,4,57108,1
HYUNDAI,Elantra SE,2012,Sedan,o,gasoli,1.8,158000,4,Tiptronic,Dianteira,45,1,Cinza,10,12544,5
OPEL,Astra,2001,Sedan,o,Diesel,2.0 Turbo,40000,4,Manual,Dianteira,45,11,Branco,4,7213,2
HONDA,Fred,2012,Hatchback,o,Gasoli,1.3,116000,4,Variator,Dianteira,45,16,Branco,10,8154,4
TOYOTA,Camry,2014,Sedan,Sim,Hibrido,2.5,130478,4,Automatico,Dianteira,45,12,Branco,12,862,5
FORD,Transit,2007,Microonibus,o,Diesel,2.2 Turbo,175000,4,Manual,Dianteira,45,15,Branco,2,12858,3
MITSUBISHI,Grandis,2007,SUV,Sim,Gasoli,2.4,,6,Automatico,Dianteira,45,27,Preto,7,12544,5
HYUNDAI,Santa FE,2010,SUV,Sim,DIESEL,2,243551,4,Automatico,Dianteira,45,14,Preto,4,19309,5
SSANGYONG,REXTON,2011,SUV,Sim,Diesel,2,53323,4,Automatico,Dianteira,45,20,Preto,4,32035,1
TOYOTA,Prius,2018,Hatchback,Sim,Hibrido,1.8,2102,4,Automatico,Dianteira,45,8,Branco,12,40769,2
HYUNDAI,Veloster,2013,Hatchback,Sim,Gasoli,1.6 Turbo,161600,4,Tiptronic,Dianteira,23,13,Branco,0,17562,4
MAZDA,Verisa,2005,Hatchback,Sim,Gasoli,1.5,176000,4,Automatico,Dianteira,45,17,Prata,2,7527,3
BMW,X5,2011,SUV,Sim,Diesel,3.0 Turbo,239000,6,Automatico,4x4,45,5,Preto,12,51746,5
NISSAN,Kicks,2018,SUV,o,gasoli,1.6,8000,4,Tiptronic,Dianteira,45,9,Cinza,0,24775,4
TOYOTA,Camry,2007,Sedan,Sim,Hibrido,2.4,151000,4,Variator,Dianteira,45,2,Preto,10,18817,4
TOYOTA,Prius,2008,Hatchback,o,Hibrido,1.5,200000,4,Variator,Dianteira,45,31,Branco,4,40,2
TOYOTA,RAV 4,2012,SUV,o,gasoli,2.5,159901,4,Automatico,Dianteira,45,3,Marrom,12,5959,2
VOLKSWAGEN,Jetta,2013,Sedan,Sim,Hibrido,1.4,159981,4,Automatico,Dianteira,45,8,Preto,12,2509,1
MERCEDESBENZ,GLA 250,2015,SUV,Sim,GASOLI,2,155317,4,Automatico,4x4,45,21,Branco,0,16308,3
TOYOTA,Prius,2010,Sedan,o,Hibrido,1.8,260000,4,Automatico,Dianteira,45,13,Branco,6,14740,4
HYUNDAI,Santa FE,2017,SUV,Sim,diesel,2,72040,4,Automatico,Dianteira,45,13,Azul,4,42717,3
NISSAN,Tiida,2005,Hatchback,o,gasoli,1.5,138000,4,Automatico,Dianteira,45,2,Prata,2,8311,2
MERCEDESBENZ,Sprinter,1999,Microonibus,o,DIESEL,2.9,0,4,Manual,Traseira,>5,4,Branco,2,,3
TOYOTA,Camry,2018,Sedan,Sim,Gasoli,2.5,60000,6,Tiptronic,Dianteira,45,1,Preto,10,50178,4
TOYOTA,Camry,2013,Sedan,o,Hibrido,2.5,168000,4,Automatico,Dianteira,45,31,Cinza,10,24462,1
CHEVROLET,Captiva,2010,SUV,Sim,Diesel,2,62147,4,Automatico,Dianteira,45,12,Preto,4,11917,3
TOYOTA,Prius,2008,Sedan,o,Hibrido,1.6,18000,1,Automatico,4x4,45,1,Azul ceu,1,9408,2
SUZUKI,SX4,2008,SUV,o,Gasol.,2,89000,4,Automatico,4x4,45,26,Preto,6,8154,2
HYUNDAI,Tucson,2012,SUV,Sim,GASOLI,2.4,,4,Tiptronic,Dianteira,45,6,Branco,6,19444,4
HYUNDAI,H1,2016,Minivan,Sim,DIESEL,2.5,,4,Automatico,Dianteira,45,25,Prata,4,37066,2
LEXUS,RX 450,2010,SUV,Sim,Hibrido,3.5,315270,6,Automatico,4x4,45,8,Cinza,12,,4
MINI,Cooper,2012,Conversivel,Sim,gasoli,1.6,115754,4,Automatico,Dianteira,45,1,Azul,12,1176,3
INFINITI,FX35,2004,SUV,Sim,Gasol.,3.5,225600,6,Tiptronic,Traseira,45,15,Cinza,8,11604,2
VOLKSWAGEN,Jetta,2012,Sedan,Sim,DIESEL,2,198253,4,Automatico,Dianteira,45,6,Preto,12,4391,5
CHEVROLET,Orlando,2012,SUV,Sim,diesel,2,201892,4,Automatico,Dianteira,45,3,Cinza,4,15125,5
CHEVROLET,Captiva,2011,SUV,Sim,Diesel,2.2,134498,4,Automatico,Dianteira,45,3,Cinza,4,22549,5
HONDA,Odyssey,2010,Minivan,Sim,Gasoli,3.5,135000,6,Automatico,Dianteira,45,3,Branco,8,25089,2
CADILLAC,ATS,2015,Cupê,Sim,Gasoli,3.6 Turbo,84800,6,Automatico,Traseira,23,28,Prata,12,42337,5
SUBARU,Outback,2018,Sedan,Sim,gasoli,2.5,0,4,Automatico,4x4,45,31,Prata,12,1882,5
TOYOTA,Tundra,2014,Sedan,Sim,GASOLI,5.7,0,8,Automatico,4x4,45,5,Branco,12,,5
HONDA,Element,2012,Sedan,o,Gasoli,0.1,5000,1,Automatico,Traseira,45,23,Preto,0,1000,4
CHEVROLET,Cruze,2011,Sedan,o,gasoli,1.8,28000,4,Manual,Dianteira,45,7,Prata,12,9408,4
HYUNDAI,Sota,2011,Sedan,Sim,Hibrido,2.4,0,4,Automatico,Dianteira,45,32,Prata,0,157,4
TOYOTA,Camry,2012,Sedan,Sim,Hibrido,2.5,268683,4,Automatico,Dianteira,45,21,Azul,12,,2
SSANGYONG,REXTON,2013,SUV,Sim,DIESEL,2,153641,4,Automatico,Dianteira,45,21,Prata,4,32311,3
TOYOTA,Mark X,2006,Sedan,o,Gasol.,2.5,106000,6,Tiptronic,Traseira,45,16,Branco,6,10663,5
SUZUKI,Vitara GL+,2019,SUV,o,Gasoli,1.0 Turbo,4800,3,Tiptronic,Dianteira,45,30,Dourado,10,46414,4
LEXUS,CT 200h,2014,Hatchback,Sim,Hibrido,1.8,132563,4,Automatico,Dianteira,45,26,Red,0,11447,5
HYUNDAI,H1,2018,Universal,Sim,Dies.,2.5,26501,4,Automatico,Dianteira,45,20,Amarelo,4,65040,3
BMW,X5,2011,Sedan,Sim,Gasol.,4.4,139363,8,Automatico,4x4,45,6,Preto,0,157,1
HYUNDAI,Santa FE,2013,SUV,Sim,GASOLI,2,219070,4,Automatico,4x4,45,5,Cinza,12,627,4
BMW,X6,2009,SUV,Sim,Gasoli,4.4 Turbo,158000,8,Tiptronic,4x4,45,32,Bege,12,40000,4
HYUNDAI,Elantra,2013,Sedan,Sim,Gasol.,1.6,,4,Automatico,Dianteira,45,6,Cinza,4,17158,2
SSANGYONG,Actyon,2017,SUV,Sim,GASOLI,1.6,31139,4,Automatico,Dianteira,45,12,Branco,4,38311,1
SUBARU,Forester,2015,SUV,Sim,GASOLI,2.5,,4,Automatico,4x4,45,21,Branco,0,6899,5
SSANGYONG,Korando,2014,SUV,Sim,diesel,2,,4,Automatico,Dianteira,45,2,Preto,4,25512,4
KIA,Picanto,2017,Sedan,o,Gasol.,1.2,94000,4,Manual,Dianteira,45,22,Prata,1,15524,1
GMC,TERRAIN,2019,Sedan,Sim,gasoli,2,35898,4,Automatico,Dianteira,45,21,Preto,12,14269,4
HYUNDAI,Elantra,2011,Sedan,Sim,gasoli,1.6,133783,4,Automatico,Dianteira,45,15,Cinza,4,19679,5
FIAT,500,2012,Sedan,Sim,Gasol.,1.4,157317,4,Automatico,Dianteira,45,8,Red,12,3293,3
MERCEDESBENZ,E 350,2014,Sedan,Sim,Gasoli,5.5,101424,8,Automatico,4x4,45,15,Cinza,12,32302,5
NISSAN,Versa,2017,SUV,Sim,Gasoli,1.6,,4,Automatico,Dianteira,45,13,Red,12,3136,1
TOYOTA,Camry,2013,Sedan,Sim,Hibrido,2.5,232032,4,Automatico,Dianteira,45,23,Prata,12,392,4
TOYOTA,RAV 4,2018,SUV,o,Gasoli,2.5,40000,4,Tiptronic,4x4,45,9,Branco,12,48610,1
HYUNDAI,Tucson,2014,SUV,Sim,Diesel,2,120272,4,Automatico,Dianteira,45,10,Branco,4,28617,2
MERCEDESBENZ,E 350,2008,Sedan,Sim,DIESEL,3,175614,6,Automatico,Traseira,45,11,Preto,12,2430,1
JEEP,Liberty,2004,SUV,o,Gás tural,3.7,200000,6,Automatico,4x4,45,30,Azul,4,9722,4
TOYOTA,4Runner,2018,SUV,Sim,Gasoli,4,58971,6,Automatico,4x4,45,4,Prata,12,470,1
HYUNDAI,H1,2014,Minivan,Sim,Diesel,2.5,,4,Automatico,Dianteira,45,6,Prata,4,37000,2
TOYOTA,Prius,2010,SUV,Sim,Hibrido,1.8,221760,4,Automatico,Dianteira,45,30,Azul,12,706,2
SSANGYONG,Actyon,2017,SUV,Sim,Gasol.,1.6,81348,4,Automatico,Dianteira,45,6,Prata,4,35610,4
HONDA,FIT,2005,Hatchback,o,Gasoli,1.3,,4,Variator,Dianteira,45,11,Azul ceu,2,,2
VOLKSWAGEN,CC R line,2012,Sedan,Sim,Gasol.,2.0 Turbo,1111,4,Tiptronic,Dianteira,45,24,Azul,10,,1
HYUNDAI,H1,2016,Universal,Sim,Diesel,2.5,51831,4,Automatico,Dianteira,45,5,Cinza,4,44247,5
FORD,Expedition,2017,SUV,Sim,gasoli,3.5,130499,6,Automatico,Traseira,45,14,Preto,12,11917,3
HONDA,FIT,2011,Sedan,o,Gasol.,1.3,185000,4,Automatico,Dianteira,45,30,Preto,2,8154,1
MERCEDESBENZ,E 350,2010,Sedan,Sim,Gasoli,3.5,229904,6,Automatico,4x4,45,26,Preto,12,,4
KIA,Optima,2012,Sedan,o,gasoli,2.4,121000,4,Tiptronic,Dianteira,45,1,Vermelho,12,15681,3
HYUNDAI,Genesis,2010,Cupê,Sim,Gasoli,3.8,189194,6,Automatico,Traseira,23,19,Branco,12,784,4
MERCEDESBENZ,GLA 250,2015,SUV,Sim,Gasoli,2,99542,4,Automatico,4x4,45,31,Branco,0,11133,5
BMW,528,1992,Sedan,Sim,gasoli,2.8,1000,6,Manual,Traseira,45,4,Preto,2,17249,3
HYUNDAI,H1,2016,Minivan,Sim,Dies.,2.5,135884,4,Automatico,Dianteira,45,8,Prata,4,36834,1
AUDI,A6,1995,Sedan,Sim,Gás tural,2.8,0,6,Automatico,Dianteira,45,32,Cinza,4,2500,3
HONDA,FIT,2005,Hatchback,o,GASOLI,1.3,172000,4,Automatico,Dianteira,45,32,Preto,4,7997,3
MERCEDESBENZ,C 250,2014,Sedan,Sim,Gasoli,1.8 Turbo,,4,Tiptronic,Traseira,45,3,Azul,12,14113,2
NISSAN,Tiida,2006,Hatchback,Sim,Gasoli,1.5,180000,4,Variator,Dianteira,45,4,Prata,2,9095,4
HYUNDAI,Sota,2016,Sedan,Sim,Gasoli,2,36215,4,Automatico,Dianteira,45,15,Azul,4,50341,1
BMW,X1 XDrive,2011,SUV,o,Diesel,1.8 Turbo,70000,4,Tiptronic,4x4,45,10,Branco,6,26657,1
MERCEDESBENZ,GLE 350,2016,SUV,Sim,Gasoli,3.5,117368,6,Automatico,4x4,45,20,Preto,0,68681,3
VOLKSWAGEN,Tiguan,2012,SUV,Sim,GASOLI,2.0 Turbo,48379,4,Tiptronic,4x4,45,31,Roxo,14,21326,2
CHEVROLET,Aveo,2012,Sedan,Sim,Gasoli,1.6,,4,Automatico,Dianteira,45,25,Preto,4,9092,3
HONDA,FIT,2010,Hatchback,o,GASOLI,1.3,139000,4,Automatico,Dianteira,45,7,Preto,6,30,4
MERCEDESBENZ,Sprinter,2004,Microonibus,o,DIESEL,2.2 Turbo,371500,4,Manual,4x4,45,4,Branco,2,29793,2
TOYOTA,Highlander,2009,Sedan,Sim,Hibrido,3.3,318358,6,Automatico,4x4,45,13,Preto,12,1019,3
HYUNDAI,Genesis,2011,Cupê,Sim,GASOLI,3.8,135746,4,Automatico,Dianteira,45,14,Cinza,4,21395,5
HYUNDAI,Tucson,2011,SUV,Sim,Gasoli,2,104000,4,Automatico,4x4,45,8,Marrom,2,,1
HYUNDAI,Tucson,2015,SUV,Sim,DIESEL,2,80687,4,Automatico,Dianteira,45,8,Branco,4,39891,3
BMW,335,2010,Sedan,Sim,diesel,3.0 Turbo,197000,6,Tiptronic,Traseira,45,24,Preto,8,25089,5
FORD,CMAX,2012,Hatchback,Sim,Hibrido,2,203770,4,Automatico,Dianteira,45,6,Red,10,14113,1
CHEVROLET,Cruze,2009,Sedan,Sim,DIESEL,2,66630,4,Automatico,Dianteira,45,32,Preto,4,7370,3
TOYOTA,Prius C,2013,Hatchback,o,Hibrido,1.5,51200,4,Automatico,Dianteira,45,13,Prata,16,21012,1
FORD,Escape,2007,SUV,o,Hibrido,2.3,251200,4,Automatico,4x4,45,23,Bege,6,11917,2
HYUNDAI,Elantra,2012,Sedan,Sim,Gasol.,1.6,147718,4,Automatico,Dianteira,45,31,Prata,4,20005,1
HYUNDAI,Sota,2017,Sedan,Sim,Gasoli,2,34900,4,Automatico,Dianteira,45,14,Preto,4,54167,3
FORD,Escape,2008,SUV,Sim,Hibrido,2.3,161000,4,Automatico,Dianteira,45,27,Branco,4,10663,1
HYUNDAI,Tucson,2018,SUV,Sim,diesel,1.7,46764,4,Automatico,Dianteira,45,16,Azul,4,47205,4
MERCEDESBENZ,E 300,2017,Sedan,Sim,GASOLI,2,35874,4,Automatico,4x4,45,6,Preto,12,470,5
OPEL,Vectra,2000,Sedan,o,Gasoli,1.8,245000,4,Manual,Dianteira,45,4,Verde,4,8467,3
MERCEDESBENZ,E 350,2006,Sedan,Sim,gasoli,3.5,177000,6,Tiptronic,Traseira,45,9,Prata,12,17876,4
LEXUS,LS 460,2010,Sedan,Sim,Gasoli,4.6,108171,4,Automatico,Dianteira,45,14,Prata,4,38060,5
CHEVROLET,Captiva,2013,SUV,Sim,Dies.,2.2,,4,Automatico,Dianteira,45,30,Cinza,4,32104,5
BMW,X5,2004,SUV,Sim,DIESEL,3,248000,6,Tiptronic,4x4,45,2,Branco,0,25089,3
MERCEDESBENZ,ML 350,2011,SUV,Sim,Dies.,3.5,186542,6,Automatico,4x4,45,19,Branco,12,2038,1
TOYOTA,Corolla,2014,Sedan,Sim,Gasoli,1.8,169141,4,Automatico,Dianteira,45,16,Prata,12,4391,5
HYUNDAI,Sota,2012,Sedan,Sim,Hibrido,2.4,202864,4,Automatico,Dianteira,45,2,Azul,0,470,4
HYUNDAI,Santa FE,2010,SUV,Sim,Dies.,2.2,185987,4,Automatico,Dianteira,45,1,Branco,4,19309,3
VAZ,2106,1974,Sedan,o,GASOLI,0.6,,1,Manual,Traseira,23,3,Branco,10,2437,2
HONDA,FIT,2005,Hatchback,o,Gasoli,1.3,0,4,Automatico,Dianteira,45,27,Prata,4,30,4
HONDA,Insight,2012,Hatchback,Sim,Hibrido,1.3,0,4,Automatico,Dianteira,45,26,Prata,0,94,2
